,0
0,pepper
1,oil
2,garlic
3,salt
4,olive oil
5,onion
6,cheese
7,tomato
8,pasta
9,tomatoes
10,butter
11,spaghetti
12,chicken
13,parsley
14,basil
15,wine
16,cream
17,egg
18,milk
19,lemon
20,macaroni
21,water
22,penne
23,mushroom
24,broth
25,flour
26,mushrooms
27,carrot
28,beef
29,vinegar
30,onions
31,oregano
32,sage
33,bread
34,linguine
35,stock
36,mozzarella
37,orzo
38,celery
39,chicken breast
40,sausage
41,peas
42,thyme
43,eggs
44,rice
45,olives
46,peppers
47,spinach
48,shrimp
49,shallot
50,fettuccine
51,nuts
52,mustard
53,carrots
54,corn
55,beans
56,bacon
57,broccoli
58,squash
59,zucchini
60,ginger
61,farfalle
62,nutmeg
63,rigatoni
64,cayenne
65,vermicelli
66,pork
67,shallots
68,ricotta
69,meat
70,cilantro
71,rosemary
72,rotini
73,chili
74,pancetta
75,feta
76,paprika
77,mint
78,mayonnaise
79,fusilli
80,pine nuts
81,sesame
82,capers
83,grape
84,clam
85,lime
86,turkey
87,bay leaf
88,cucumber
89,peanut
90,potato
91,asparagus
92,ham
93,ziti
94,fish
95,clams
96,broccoli florets
97,artichoke
98,eggplant
99,half-and-half
100,anchovy
101,linguini
102,steak
103,balsamic
104,dill
105,cumin
106,chives
107,orecchiette
108,tuna
109,cinnamon
110,fennel
111,shiitake
112,lemons
113,cheddar
114,panko
115,orange
116,cornstarch
117,honey
118,cavatappi
119,apple
120,prosciutto
121,jalapeno
122,kalamata olives
123,pesto
124,marinara
125,sprouts
126,cannellini
127,almonds
128,cauliflower
129,tarragon
130,pepperoni
131,parmesan
132,cabbage
133,scallops
134,walnuts
135,potatoes
136,coriander
137,bouillon
138,goat
139,sausages
140,kale
141,butternut
142,cremini
143,curry
144,provolone
145,pecorino
146,kidney beans
147,salmon
148,pickle
149,portobello
150,cottage cheese
151,marjoram
152,yolks
153,peppercorns
154,lamb
155,coconut
156,vodka
157,crabmeat
158,yogurt
159,vegetables
160,margarine
161,salami
162,grapes
163,turmeric
164,tofu
165,garbanzo
166,pumpkin
167,ketchup
168,chorizo
169,angel hair
170,salsa
171,mascarpone
172,lentils
173,"broccoli rabe,"
174,avocado
175,romaine
176,ditalini
177,ranch
178,pineapple
179,gruyere
180,creme fraiche
181,mango
182,asiago
183,poppy
184,rotelle
185,avocados
186,kielbasa
187,oranges
188,gorgonzola
189,mostaccioli
190,marsala
191,gouda
192,pecorino romano
193,dijon
194,mandarin
195,cavatelli
196,rotini/corkscrew
197,parmigiano-reggiano
198,monterey jack
199,tortellini
200,sirloin steak
201,gnocchi
202,bucatini
203,pappardelle
204,tagliatelle
205,capellini
